uid,register_date,login_duration,login_days,login_count,churn_or_not,pay_in_may,pay_to_may,level
353341673000176,2/21/18,8109.895,23,49,0,0.00 ,0.00 ,12
356369823000170,2/13/18,119.135,1,1,0,0.00 ,0.00 ,13
358343871000176,2/21/18,499211.185,31,614,0,0.00 ,0.00 ,19
35919182000176,2/20/18,12909.068,20,33,1,0.00 ,41.965,16
360445548000176,2/21/18,9372.077,5,26,1,0.00 ,0.00 ,5
360727112000176,2/21/18,301088.952,31,1035,0,0.00 ,0.00 ,16
364168924000176,2/21/18,119.207,1,1,1,0.00 ,0.00 ,7
364315222000176,2/21/18,750.612,1,1,1,0.00 ,0.00 ,1
364423765000176,2/21/18,8.954,1,1,1,0.00 ,0.00 ,1
364465561000176,2/21/18,58642.704,26,74,0,0.00 ,0.00 ,11
364863100000176,2/21/18,2309.051,5,7,1,0.00 ,0.00 ,3
369810442000176,2/21/18,416358.74,31,722,0,119.651,518.329,22
371034759000176,2/21/18,686.804,2,2,1,0.00 ,0.00 ,2
371433949000176,2/21/18,1638.557,3,6,1,0.00 ,0.00 ,5
372649637000176,2/21/18,61.031,1,1,1,0.00 ,0.00 ,8
374671847000176,2/21/18,75526.074,31,139,0,4.186,39.137,18
379033211000176,2/21/18,30400.163,22,54,0,0.00 ,0.00 ,12
380339974000176,2/21/18,120153.301,31,159,0,17.493,95.116,20
382868285000176,2/21/18,1290.539,1,1,1,0.00 ,1.386,10
384745728000176,2/21/18,965.834,4,4,1,0.00 ,0.00 ,5
385098075000176,2/21/18,404.495,1,1,1,0.00 ,0.00 ,5
385139991000176,2/21/18,40227.079,21,57,1,0.00 ,0.00 ,12
385206397000176,2/21/18,476417.106,31,1081,0,2074.079,2890.643,30
385805395000176,2/21/18,85.871,1,1,1,0.00 ,0.00 ,2
386243543000165,2/8/18,1655.775,1,3,0,0.00 ,0.00 ,18
387081095000176,2/21/18,81292.023,26,305,0,0.00 ,0.00 ,5
387966732000176,2/21/18,161.764,1,1,1,0.00 ,0.00 ,7
388987282000176,2/21/18,124048.454,31,150,0,0.00 ,0.00 ,21
389110604000176,2/21/18,601.556,1,1,1,0.00 ,0.00 ,6
390185228000176,2/21/18,146397.203,31,236,0,95.816,181.125,22
390309000000176,2/21/18,66.632,1,1,1,0.00 ,0.00 ,2
391866079000176,2/21/18,1159.336,2,2,0,0.00 ,0.00 ,2
392318390000176,2/21/18,5.406,1,1,1,0.00 ,0.00 ,4
392455618000176,2/21/18,227465.864,31,595,0,11.179,11.179,20
393646781000176,2/21/18,77.471,1,1,1,0.00 ,0.00 ,4
393768077000176,2/21/18,667400.511,31,698,0,17.486,20.979,21
3938633000176,2/20/18,458.501,1,2,1,0.00 ,0.00 ,1
393880317000176,2/21/18,359738.631,31,400,0,13.993,76.944,22
395752994000176,2/21/18,1012106.627,31,719,0,94.472,841.008,24
39614684000176,2/20/18,338.254,1,1,1,0.00 ,0.00 ,1
396198649000176,2/21/18,84710.45,8,46,0,0.00 ,0.00 ,15
396907835000176,2/21/18,65071.163,31,190,0,0.00 ,0.00 ,18
397323614000176,2/21/18,45.526,1,1,1,0.00 ,0.00 ,1
39738027000176,2/20/18,130.426,1,1,1,0.00 ,0.00 ,2
399756099000176,2/21/18,527.026,1,3,1,0.00 ,0.00 ,13
400071309000176,2/21/18,94799.976,30,107,0,18.186,280.525,20
40217989000176,2/20/18,1826.946,7,8,0,0.00 ,300.881,12
40266013000176,2/20/18,7330.669,8,11,0,0.00 ,148.246,16
402758177000176,2/21/18,214379.416,31,512,0,346.339,2043.258,26
404148908000176,2/21/18,268733.96,31,222,0,333.732,1216.733,23
404549621000176,2/21/18,2613.08,1,1,1,0.00 ,0.00 ,6
404996597000176,2/21/18,69.231,1,1,1,0.00 ,0.00 ,4
40631714000176,2/20/18,302643.975,31,433,0,0.00 ,0.00 ,19
406465126000176,2/21/18,339646.699,31,390,0,0.00 ,0.00 ,22
407599158000176,2/21/18,623.269,1,1,1,0.00 ,0.00 ,6
407769278000176,2/21/18,5123.035,3,4,1,0.00 ,0.00 ,15
408699468000176,2/21/18,438.364,4,5,0,0.00 ,0.00 ,9
409777581000176,2/21/18,137363.492,31,289,0,0.00 ,0.00 ,18
410765809000176,2/21/18,6768.312,5,13,0,0.00 ,0.00 ,5
411517941000176,2/21/18,166629.191,31,278,0,0.00 ,0.00 ,19
412774417000176,2/21/18,823.023,3,3,1,0.00 ,0.00 ,11
414195971000176,2/21/18,629.116,1,3,1,0.00 ,0.00 ,2
414558561000176,2/21/18,556.897,1,1,1,0.00 ,0.00 ,4
418010850000176,2/21/18,3177.033,5,7,0,0.00 ,0.00 ,4
418583936000176,2/21/18,267.406,1,1,1,0.00 ,41.972,15
418887951000176,2/21/18,1659.524,2,2,1,0.00 ,0.00 ,5
421551413000176,2/21/18,349.428,1,1,0,0.00 ,250.362,18
421992027000176,2/21/18,73724.264,26,113,0,29.358,268.597,20
428533983000176,2/21/18,240.222,1,2,1,0.00 ,0.00 ,3
429415669000176,2/21/18,1123.391,1,2,1,0.00 ,0.00 ,4
42982007000176,2/20/18,667178.602,31,1274,0,148.288,274.862,23
432318096000176,2/21/18,556.162,1,1,1,0.00 ,0.00 ,2
434877612000176,2/21/18,6017.532,10,17,1,0.00 ,0.00 ,11
436275167000165,2/8/18,4690.712,1,4,0,748.832,1698.445,22
437460550000176,2/21/18,1680.765,2,3,1,0.00 ,0.00 ,4
437967396000165,2/8/18,3069.24,1,7,0,0.00 ,0.00 ,17
438080273000176,2/21/18,426.969,1,3,1,0.00 ,0.00 ,2
43815991000176,2/20/18,67.95,2,2,1,0.00 ,0.00 ,2
438265256000176,2/21/18,140357.995,31,92,0,14.679,14.679,17
438773435000176,2/21/18,5738.42,7,14,0,0.00 ,0.00 ,12
439000237000176,2/21/18,15.94,1,1,1,0.00 ,0.00 ,1
439912821000176,2/21/18,8905.34,5,12,0,0.00 ,0.00 ,5
440368335000176,2/21/18,207.452,1,1,1,0.00 ,0.00 ,6
442445633000176,2/21/18,193.729,1,1,1,0.00 ,0.00 ,6
443323920000176,2/21/18,167.311,2,2,1,0.00 ,0.00 ,2
444684445000176,2/21/18,103698.719,31,133,0,0.00 ,0.00 ,16
446515002000176,2/21/18,6612.224,22,28,0,0.00 ,0.00 ,11
446761062000176,2/21/18,368.54,3,3,0,0.00 ,0.00 ,14
446891119000176,2/21/18,270941.423,31,364,0,0.00 ,13.993,20
447666103000176,2/21/18,3053.674,6,7,1,0.00 ,0.00 ,11
449062679000176,2/21/18,105.043,1,2,0,0.00 ,0.00 ,2
449098863000176,2/21/18,614.932,1,1,1,0.00 ,0.00 ,7
449664542000176,2/21/18,12446.705,27,64,0,0.00 ,0.00 ,15
450976127000176,2/21/18,1523.238,1,2,1,0.00 ,0.00 ,5
451540244000176,2/21/18,443.865,1,1,1,0.00 ,0.00 ,3
451981259000176,2/21/18,46156.186,26,66,0,0.00 ,0.00 ,12
45220587000176,2/20/18,44.153,1,1,1,0.00 ,0.00 ,1
452386521000176,2/21/18,489959.495,31,512,0,125.181,420.336,21
453605137000176,2/21/18,8707.619,19,24,0,0.00 ,0.00 ,13
453876042000176,2/21/18,4126.409,3,7,1,0.00 ,0.00 ,5
454726293000176,2/21/18,52.441,1,1,1,0.00 ,0.00 ,12
455107376000176,2/21/18,513.098,1,1,1,0.00 ,0.00 ,2
455345368000176,2/21/18,128.867,2,2,1,0.00 ,0.00 ,2
456043854000176,2/21/18,2145.141,2,2,1,0.00 ,0.00 ,6
456141648000176,2/21/18,580.484,1,1,0,0.00 ,0.00 ,3
456173217000176,2/21/18,626.841,1,1,1,0.00 ,0.00 ,1
